trial,stimulus,rating,participant
1,20,6,practice
2,21,0,practice
3,19,0,practice
4,27,2,practice
5,4,3,practice
6,1,2,practice
7,12,2,practice
8,22,1,practice
9,7,4,practice
10,6,5,practice
11,26,5,practice
12,16,5,practice
13,9,6,practice
14,29,6,practice
15,8,6,practice
16,17,0,practice
17,2,4,practice
18,3,2,practice
19,25,2,practice
20,5,2,practice
21,13,1,practice
22,30,5,practice
23,11,2,practice
24,28,5,practice
25,15,3,practice
26,23,4,practice
27,18,0,practice
28,14,2,practice
29,10,3,practice
30,24,2,practice
31,17,5,practice
32,14,2,practice
33,24,0,practice
34,11,2,practice
35,2,1,practice
36,7,4,practice
37,13,2,practice
38,27,5,practice
39,26,5,practice
40,12,2,practice
41,3,3,practice
42,19,5,practice
43,28,5,practice
44,10,5,practice
45,22,2,practice
46,5,0,practice
47,4,3,practice
48,30,4,practice
49,20,5,practice
50,18,5,practice
51,25,2,practice
52,21,2,practice
53,9,5,practice
54,1,4,practice
55,15,3,practice
56,6,4,practice
57,16,2,practice
58,8,5,practice
59,23,2,practice
60,29,6,practice
<end data>,,,
<start header>,,,
Fri Aug 28 14:41:51 1998,,,
RT identification,,,
shkas.ssf,,,
1 30,,,
1 1,,,
90,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
test,,,
<end header>,,,
<start data>,,,
1,29,5,2a
2,15,3,2a
3,24,1,2a
4,19,5,2a
5,27,4,2a
6,28,4,2a
7,21,2,2a
8,7,5,2a
9,8,6,2a
10,14,2,2a
11,30,6,2a
12,5,0,2a
13,9,6,2a
14,11,2,2a
15,25,5,2a
16,13,0,2a
17,18,0,2a
18,12,1,2a
19,6,1,2a
20,2,0,2a
21,1,2,2a
22,3,2,2a
23,4,2,2a
24,16,4,2a
25,20,6,2a
26,22,2,2a
27,26,0,2a
28,23,3,2a
29,10,6,2a
30,17,0,2a
31,18,2,2a
32,29,6,2a
33,13,1,2a
34,9,6,2a
35,15,0,2a
36,3,2,2a
37,22,1,2a
38,8,6,2a
39,17,0,2a
40,10,6,2a
41,28,4,2a
42,23,2,2a
43,6,0,2a
44,26,2,2a
45,25,1,2a
46,7,6,2a
