trial,stimulus,rating,participant
Wed Nov 11 13:36:20 1998,,,
RT identification,,,
swihb.ssf,,,
1 27,,,
1 1,,,
54,,,
none,,,
1,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,22,1,practice
2,26,0,practice
3,18,5,practice
4,21,1,practice
5,20,1,practice
6,8,0,practice
7,13,3,practice
8,27,1,practice
9,2,1,practice
10,24,2,practice
11,19,0,practice
12,3,1,practice
13,5,0,practice
14,9,2,practice
15,6,2,practice
16,7,1,practice
17,25,5,practice
18,15,2,practice
19,14,0,practice
20,16,2,practice
21,12,1,practice
22,11,1,practice
23,1,1,practice
24,17,6,practice
25,10,1,practice
26,4,1,practice
27,23,6,practice
28,23,1,practice
29,5,5,practice
30,19,1,practice
31,18,6,practice
32,26,6,practice
33,2,1,practice
34,7,6,practice
35,11,1,practice
36,14,1,practice
37,16,5,practice
38,21,1,practice
39,22,1,practice
40,15,6,practice
41,12,1,practice
42,8,6,practice
43,27,6,practice
44,20,1,practice
45,25,2,practice
46,3,2,practice
47,4,1,practice
48,17,6,practice
49,13,1,practice
50,10,1,practice
51,1,1,practice
52,24,2,practice
53,9,6,practice
54,6,5,practice
<end data>,,,
<start header>,,,
Wed Nov 11 13:42:52 1998,,,
RT identification,,,
swihb.ssf,,,
1 27,,,
1 1,,,
81,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,1,1,1
2,12,1,1
3,25,6,1
4,11,1,1
5,14,1,1
6,5,1,1
7,2,1,1
8,27,6,1
9,10,1,1
10,20,1,1
11,4,1,1
12,18,5,1
13,15,1,1
14,9,6,1
15,23,0,1
16,8,0,1
17,6,2,1
18,17,6,1
19,19,1,1
20,7,2,1
21,16,6,1
22,22,0,1
23,26,6,1
24,21,1,1
25,3,6,1
26,24,6,1
27,13,1,1
28,16,6,1
29,14,0,1
30,4,0,1
31,8,6,1
32,24,1,1
33,15,1,1
34,20,1,1
35,3,1,1
36,27,6,1
37,1,1,1
38,25,0,1
39,13,1,1
40,18,6,1
41,21,1,1
42,9,6,1
43,12,1,1
44,5,6,1
45,6,6,1
46,17,5,1
47,23,1,1
48,2,1,1
49,19,1,1
50,7,5,1
51,22,1,1
52,26,6,1
53,10,1,1
54,11,1,1
55,10,1,1
56,5,1,1
57,1,1,1
58,24,6,1
59,25,6,1
60,17,6,1
61,27,6,1
62,6,6,1
63,23,1,1
64,9,0,1
65,22,2,1
66,19,1,1
67,18,2,1
68,26,6,1
69,2,1,1
70,3,1,1
71,8,6,1
72,7,5,1
73,20,1,1
74,14,5,1
75,12,1,1
76,15,6,1
77,11,1,1
78,16,6,1
79,4,1,1
80,21,1,1
81,13,1,1
<end data>,,,
<start header>,,,
Wed Nov 11 13:46:45 1998,,,
RT identification,,,
swihb.ssf,,,
1 27,,,
1 1,,,
81,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,4,0,1
2,16,6,1
3,12,1,1
4,8,6,1
5,17,6,1
6,9,6,1
7,21,1,1
8,26,2,1
9,2,1,1
10,6,1,1
11,11,1,1
12,13,1,1
13,22,1,1
14,1,1,1
15,24,1,1
16,14,1,1
17,18,6,1
18,5,1,1
19,3,1,1
20,20,1,1
21,23,6,1
22,15,6,1
23,19,1,1
24,7,6,1
25,10,1,1
26,25,6,1
27,27,6,1
28,7,6,1
29,15,6,1
30,16,6,1
31,24,6,1
32,25,6,1
33,5,1,1
34,27,6,1
35,6,6,1
36,20,1,1
37,18,6,1
38,3,1,1
39,22,1,1
40,12,1,1
41,13,1,1
42,8,6,1
43,14,0,1
44,10,1,1
45,4,1,1
46,2,1,1
47,1,1,1
48,19,1,1
49,21,1,1
50,23,1,1
51,11,1,1
52,9,6,1
53,26,6,1
54,17,6,1
55,23,6,1
56,16,6,1
57,10,1,1
58,6,6,1
59,9,5,1
60,13,1,1
61,4,1,1
62,12,1,1
63,27,6,1
64,19,1,1
65,20,1,1
66,8,5,1
67,15,1,1
68,7,0,1
69,5,0,1
70,26,6,1
71,14,0,1
72,24,0,1
73,17,6,1
74,18,6,1
75,25,6,1
76,1,1,1
77,11,1,1
78,22,1,1
79,2,1,1
80,21,1,1
81,3,1,1
<end data>,,,
<start header>,,,
Wed Nov 11 13:50:20 1998,,,
RT identification,,,
swihb.ssf,,,
1 27,,,
1 1,,,
81,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,23,5,1
2,21,1,1
3,8,5,1
4,5,2,1
5,26,6,1
6,12,1,1
7,3,1,1
8,25,6,1
9,7,5,1
10,1,1,1
11,17,6,1
12,10,1,1
13,22,0,1
14,27,6,1
15,9,6,1
16,6,5,1
17,14,1,1
18,24,6,1
19,16,6,1
20,13,1,1
21,18,6,1
22,4,2,1
23,20,1,1
24,11,1,1
25,15,6,1
26,19,1,1
27,2,1,1
28,8,6,1
29,12,2,1
30,10,1,1
31,6,1,1
32,22,0,1
33,3,1,1
34,15,1,1
35,24,5,1
36,5,0,1
37,17,6,1
38,11,1,1
39,1,1,1
40,19,1,1
41,2,1,1
42,14,1,1
43,9,6,1
44,16,6,1
45,4,1,1
46,13,1,1
47,18,6,1
48,23,1,1
49,21,1,1
50,27,6,1
51,20,1,1
52,7,6,1
53,26,6,1
54,25,0,1
55,15,0,1
56,23,1,1
57,6,6,1
58,24,6,1
59,26,6,1
60,2,1,1
61,11,1,1
62,1,1,1
63,4,1,1
64,13,1,1
65,7,5,1
66,3,2,1
67,9,6,1
68,10,1,1
69,8,6,1
70,5,2,1
71,16,5,1
72,27,6,1
73,22,1,1
74,14,1,1
75,25,5,1
76,17,6,1
77,21,1,1
78,18,6,1
79,20,1,1
80,12,1,1
81,19,1,1
<end data>,,,
<start header>,,,
Wed Nov 11 13:54:01 1998,,,
RT identification,,,
swihb.ssf,,,
1 27,,,
1 1,,,
81,,,
none,,,
2,,,
button,,,
1 2 3 4 5 6,,,
1,,,
<end header>,,,
<start data>,,,
1,16,6,1
2,7,6,1
3,14,1,1
4,2,1,1
5,27,6,1
6,6,1,1
7,12,6,1
8,21,1,1
9,4,1,1
10,17,6,1
11,1,1,1
12,8,6,1
13,9,6,1
14,3,1,1
15,25,6,1
16,11,1,1
17,23,5,1
18,22,1,1
19,24,1,1
